name,market,city,status,efficiency_score,total_funding
OwnerIQ, Internet Marketing ,Boston,operating,30.3,39300000.0
Palo Alto Networks, Communications Hardware ,Santa Clara,operating,30.3,328600000.0
PharmatrophiX, Biotechnology ,Raleigh,operating,30.3,7029936.0
Pond5, E-Commerce ,New York,operating,30.3,61500000.0
Promedior, Biotechnology ,Lexington,operating,30.3,63000000.0
Proteon Therapeutics, Biotechnology ,Waltham,operating,30.3,126538660.0
Quepasa, Language Learning ,West Palm Beach,operating,30.3,24300000.0
Scanbuy, Data Visualization ,New York,operating,30.3,31862082.0
Schoology, Systems ,New York,operating,30.3,25100000.0
ShowClix, Curated Web ,Pittsburgh,operating,30.3,7114000.0
Skytap, Enterprise Software ,Seattle,operating,30.3,29510000.0
Smaato, Advertising ,San Francisco,operating,30.3,43100000.0
Solexant, Clean Technology ,San Jose,operating,30.3,90000000.0
Telemedicine Solutions LLC, Health Care Information Technology ,Schaumburg,operating,30.3,11705000.0
true[x] Media, Non Profit ,Los Angeles,operating,30.3,49850000.0
WhiteHat Security, Security ,Santa Clara,operating,30.3,49900000.0
Xactly Corp, Analytics ,Boston,operating,30.3,73870000.0
Xceleron (Chapter 11), Analytics ,Germantown,operating,30.3,6053122.0
XDx, Diagnostics ,Brisbane,operating,30.3,126397292.0
ZeniMax, Games ,Rockville,operating,30.3,586974337.0
Achaogen, Health Care ,South San Francisco,operating,30.2,100905707.0
Actelis Networks, Internet ,Fremont,operating,30.2,57616859.0
Apex Learning, Education ,Seattle,operating,30.2,17261724.0
Aquion Energy, Clean Technology ,Pittsburgh,operating,30.2,150910788.0
Arxan Technologies, Security ,Bethesda,operating,30.2,17047324.0
Benvenue Medical, Health Care ,Santa Clara,operating,30.2,149465921.0
BlueTarp Financial, Local Businesses ,Portland,operating,30.2,33500000.0
CashStar, Social Network Media ,Portland,operating,30.2,28000000.0
Centric Software, Software ,Campbell,operating,30.2,62399999.0
ClearView Audio, Manufacturing ,Waltham,operating,30.2,31090250.0
CoalTek, Clean Technology ,Chelmsford,operating,30.2,33750000.0
Cognition Therapeutics, Biotechnology ,Pittsburgh,operating,30.2,14856302.0
EverSpin Technologies, Manufacturing ,Chandler,operating,30.2,48786221.0
Facebook, Communities ,Menlo Park,operating,30.2,2425700000.0
Firetide, Mobile ,Campbell,operating,30.2,39790000.0
Illumitex, Architecture ,Austin,operating,30.2,63835051.0
Image Metrics, Graphics ,Santa Monica,operating,30.2,10663460.0
InTouch Technologies, Health Care ,Santa Barbara,operating,30.2,24100000.0
KineMed, Health Care ,Emeryville,operating,30.2,33737640.0
LiquidPlanner, Enterprise Software ,Seattle,operating,30.2,11600000.0
Lithium Technologies, Software ,San Francisco,operating,30.2,151650012.0
Neohapsis, Enterprise Software ,Chicago,operating,30.2,34965544.0
Netronome Systems, Semiconductors ,Santa Clara,operating,30.2,73197633.0
Novasentis, Hardware + Software ,Burlingame,operating,30.2,13412177.0
PatientsLikeMe, Social Media ,Cambridge,operating,30.2,27000000.0
PowerVision, Health Care ,Belmont,operating,30.2,86500000.0
Q-Sensei, Enterprise Search ,Brooklyn,operating,30.2,6350000.0
Qcept Technologies, Semiconductors ,Atlanta,operating,30.2,14400000.0
RichRelevance, Big Data ,San Francisco,operating,30.2,81832065.0
RuffWire, Social Media ,Brunswick,operating,30.2,700000.0
sellpoints, Creative ,Emeryville,operating,30.2,20367984.0
SenseData, Hardware + Software ,Washington,operating,30.2,1000000.0
Shopventory, Finance ,San Diego,operating,30.2,2030000.0
SigmaQuest, Software ,Sunnyvale,operating,30.2,370561.0
Tenaxis Medical, Health Care ,Mountain View,operating,30.2,28277366.0
TerraGo Technologies, Collaboration ,Atlanta,operating,30.2,24843426.0
TherOx, Health Care ,Irvine,operating,30.2,40269499.0
Tigo Energy, Clean Technology ,Los Gatos,operating,30.2,87186401.0
TOMI Environmental Solutions, Clean Technology ,Beverly Hills,operating,30.2,4854170.0
Triggit, Advertising ,San Francisco,operating,30.2,18450000.0
VectorMAX, Enterprise Software ,Farmingdale,operating,30.2,1607877.0
VentureBeat, News ,Lucerne Valley,operating,30.2,2920000.0
Voalte, Health Care ,Sarasota,operating,30.2,37700000.0
Waywire Networks, Curated Web ,New York,operating,30.2,4584180.0
Zend Technologies, PaaS ,Cupertino,operating,30.2,44000000.0
Zero Motorcycles, Automotive ,Scotts Valley,operating,30.2,63659978.0
Zosano Pharma, Biotechnology ,Fremont,operating,30.2,142355891.0
Achronix Semiconductor, Semiconductors ,Santa Clara,operating,30.1,135776263.0
Adaptive Planning, Software ,Mountain View,operating,30.1,84500000.0
Astute Medical, Biotechnology ,San Diego,operating,30.1,106134083.0
Attivio, Enterprise Software ,Boston,operating,30.1,71100000.0
aTyr Pharma, Biotechnology ,San Diego,operating,30.1,104500000.0
Axcient, Virtualization ,Mountain View,operating,30.1,74174997.0
B-Stock Solutions, Retail ,Redwood City,operating,30.1,8200000.0
BATS Global Markets, Finance ,Lenexa,operating,30.1,45000000.0
BDNA, Software ,Mountain View,operating,30.1,35869729.0
BuzzFeed, Entertainment ,New York,operating,30.1,96300000.0
Cartera Commerce, Shopping ,Lexington,operating,30.1,44120664.0
CH Mack, Software ,Cincinnati,operating,30.1,6117000.0
ChaCha, Search ,San Francisco,operating,30.1,93031968.0
Cianna Medical, Health Care ,Aliso Viejo,operating,30.1,41250002.0
CipherOptics, Security ,Raleigh,operating,30.1,34850000.0
Contour, Consumer Internet ,Provo,operating,30.1,2250000.0
Correlsense, Software ,Framingham,operating,30.1,21000000.0
Coupons.com, Advertising ,Mountain View,operating,30.1,276760000.0
Crystalplex, Biotechnology ,Pittsburgh,operating,30.1,1942000.0
Datavail, Databases ,Broomfield,operating,30.1,13690000.0
Datran Media, Advertising ,New York,operating,30.1,69477054.0
deviantART, Curated Web ,West Hollywood,operating,30.1,13537704.0
DimensionU (formerly Tabula Digita), Games ,Long Island City,operating,30.1,17345709.0
E-Band Communications, Wireless ,San Diego,operating,30.1,3200000.0
Fuhu, Enterprise Software ,El Segundo,operating,30.1,66248970.0
Fulcrum Bioenergy, Clean Technology ,Pleasanton,operating,30.1,89000000.0
GameChanger Media, Software ,New York,operating,30.1,10632657.0
GoodData, Collaboration ,San Francisco,operating,30.1,101199993.0
GreatPoint Energy, Clean Technology ,Cambridge,operating,30.1,562000000.0
ImmuneWorks, Biotechnology ,Indianapolis,operating,30.1,735000.0
InsideView, SaaS ,San Francisco,operating,30.1,43462000.0
Kirusa, Public Relations ,New Providence,operating,30.1,26830000.0
Kobalt Music Group, Technology ,New York,operating,30.1,156000000.0
Lehigh Technologies, Specialty Chemicals ,Tucker,operating,30.1,70000000.0
MediaMath, Technology ,New York,operating,30.1,195000000.0
Minted, Home Decor ,San Francisco,operating,30.1,89100000.0
MobileIron, Mobile Security ,Mountain View,operating,30.1,144800000.0
Motivano, Enterprise Software ,Tampa,operating,30.1,3450000.0
NetProspex, B2B ,Waltham,operating,30.1,27500000.0
Orbital Traction, Clean Energy ,Houston,operating,30.1,6523000.0
Powervation, Hardware + Software ,San Jose,operating,30.1,32496651.0
PrestaShop, Software ,Miami,operating,30.1,14865670.0
Prima Solutions, Software ,Chicago,operating,30.1,6199900.0
Ranker, Curated Web ,Los Angeles,operating,30.1,5100000.0
Revionics, Software ,Roseville,operating,30.1,18200000.0
Sequella, Biotechnology ,Rockville,operating,30.1,47425097.0
Shareaholic, Content ,Boston,operating,30.1,7755000.0
Silatronix, Nanotechnology ,Madison,operating,30.1,3300000.0
Sonim Technologies, Mobile ,San Mateo,operating,30.1,46649369.0
Sunrun, Solar ,San Francisco,operating,30.1,486600000.0
SupplyFrame, Innovation Engineering ,Pasadena,operating,30.1,15500000.0
Tatango, Messaging ,Bellingham,operating,30.1,600000.0
Tioga Pharmaceuticals, Biotechnology ,San Diego,operating,30.1,57000000.0
Tolera Therapeutics, Biotechnology ,Kalamazoo,operating,30.1,12323710.0
Verax Biomedical, Biotechnology ,Worcester,operating,30.1,24217263.0
VidSys, Software ,Marlborough,operating,30.1,18650000.0
Vobile, Curated Web ,Santa Clara,operating,30.1,19268235.0
XLerant, Software ,Stamford,operating,30.1,5838572.0
Yodle, Reviews and Recommendations ,New York,operating,30.1,40000002.0
Zenoss, Enterprise Software ,Austin,operating,30.1,45632042.0
ABFIT Products, Medical ,Richardson,operating,30.0,0.0
Active Endpoints, Enterprise Software ,Waltham,operating,30.0,22500000.0
Additech, Automotive ,Houston,operating,30.0,10600000.0
AngioSlide, Health Care ,Wheat Ridge,operating,30.0,30150000.0
AppTap, Apps ,Reston,operating,30.0,10671168.0
Aria Systems, Enterprise Software ,San Francisco,operating,30.0,81200000.0
Array Health Solutions, Enterprise Software ,Seattle,operating,30.0,13425000.0
Billtrust, Software ,Monroe Township,operating,30.0,29000000.0
Blekko, Search ,Redwood Shores,operating,30.0,60200000.0
Centice, Biotechnology ,Morrisville,operating,30.0,39475259.0
Cerulean Pharma, Health Care ,Cambridge,operating,30.0,90700000.0
CiRBA, Analytics ,New York,operating,30.0,32000000.0
Coveo, Search ,Vernon Hills,operating,30.0,34700000.0
Covestor, Finance ,Boston,operating,30.0,23850000.0
Credit Karma, Credit ,San Francisco,operating,30.0,193000000.0
Danal d/b/a BilltoMobile, Mobile Payments ,San Jose,operating,30.0,14500000.0
Demandbase, Internet Marketing ,San Francisco,operating,30.0,33000000.0
DreamBox Learning, Tutoring ,Bellevue,operating,30.0,35600000.0
Efficiency Exchange, Big Data ,Sandston,operating,30.0,600000.0
Envysion, Software ,Louisville,operating,30.0,14269616.0
EPINEX DIAGNOSTICS, Biotechnology ,Tustin,operating,30.0,2494353.0
Farmivore, Subscription Businesses ,New York,operating,30.0,40000.0
FedBid, Governments ,Vienna,operating,30.0,2000000.0
Focus Financial Partners, Finance ,New York,operating,30.0,0.0
Gen One Cig, Health and Wellness ,Southfield,operating,30.0,15615915.0
GranData, Analytics ,San Francisco,operating,30.0,0.0
GW Services, Entertainment ,Omaha,operating,30.0,0.0
House Party, Social Media Advertising ,Irvington,operating,30.0,9950000.0
Immune Design, Therapeutics ,Seattle,operating,30.0,99031500.0
INVIDI Technologies, Software ,Princeton,operating,30.0,120250000.0
Jibe Mobile, Chat ,Mountain View,operating,30.0,9100000.0
Johns Hopkins University, Education ,Baltimore,operating,30.0,90000000.0
"LendKey Technologies, Inc.", Finance ,New York,operating,30.0,23727288.0
Liquidia Technologies, Nanotechnology ,Morrisville,operating,30.0,57799994.0
Lotame, Optimization ,Columbia,operating,30.0,50989765.0
Major League Gaming, Games ,New York,operating,30.0,69000000.0
Miragen Therapeutics, Biotechnology ,Boulder,operating,30.0,45000000.0
Nexidia, Analytics ,Atlanta,operating,30.0,40268814.0
Novomer, Clean Technology ,Waltham,operating,30.0,46400000.0
Nuxeo, Enterprises ,Brooklyn,operating,30.0,9860740.0
PivotLink, Sales and Marketing ,San Francisco,operating,30.0,45585068.0
PowWowHR, Human Resources ,Atlanta,operating,30.0,2150000.0
PubMatic, Advertising ,Redwood City,operating,30.0,63000000.0
Radius Health, Biotechnology ,Cambridge,operating,30.0,212900000.0
Soraa, Lighting ,Fremont,operating,30.0,101600000.0
Sotera Wireless, Health Care ,San Diego,operating,30.0,91510000.0
Tradescape, Software ,San Mateo,operating,30.0,7634742.0
Umthunzi, Medical ,Little Rock,operating,30.0,0.0
Vantos, Enterprise Software ,Seattle,operating,30.0,18508487.0
Vox Media, Sports ,Washington,operating,30.0,107632220.0
Xangati, Security ,San Jose,operating,30.0,21700000.0
Zyga, Medical Devices ,Minnetonka,operating,30.0,55750000.0
Agilence, Retail Technology ,Mount Laurel,operating,29.9,14227468.0
Akermin, Biotechnology ,St Louis,operating,29.9,21553364.0
Assurex Health, Biotechnology ,Mason,operating,29.9,74680725.0
betaworks, Coworking ,New York,operating,29.9,47500000.0
Bonobos, Shoes ,New York,operating,29.9,127649865.0
BridgeLux, Manufacturing ,Sunnyvale,operating,29.9,244789135.0
Cardioxyl Pharmaceuticals, Biotechnology ,Chapel Hill,operating,29.9,66500000.0
"Chequed.com, Inc.", Software ,Saratoga Springs,operating,29.9,2850030.0
Clearleap, Television ,Duluth,operating,29.9,40550000.0
Conduit, Browser Extensions ,Foster City,operating,29.9,109800000.0
ConteXtream, Software ,Santa Clara,operating,29.9,23817000.0
Convey Computer, Hardware + Software ,Richardson,operating,29.9,58641287.0
DataStax, Big Data ,Santa Clara,operating,29.9,189700000.0
Draker, Clean Technology ,Burlington,operating,29.9,18742845.0
Eightfold Logic, Advertising ,San Francisco,operating,29.9,19862991.0
ForeScout Technologies, Security ,Campbell,operating,29.9,26380000.0
Heavy, Advertising ,New York,operating,29.9,33000000.0
"Hero Network, Inc.", Technology ,Philadelphia,operating,29.9,1958750.0
Jivox, Mobile Advertising ,Redwood City,operating,29.9,31400000.0
LiquidPiston, Clean Technology ,Bloomfield,operating,29.9,21250000.0
LogiAnalytics.com, Business Intelligence ,Mclean,operating,29.9,47999999.0
Mixpanel, Analytics ,San Francisco,operating,29.9,12000000.0
NanoString Technologies, Diagnostics ,Seattle,operating,29.9,106450000.0
nCrypted Cloud, Security ,Boston,operating,29.9,9250000.0
netTALK, Hardware + Software ,Miami,operating,29.9,9250000.0
Networked Insights, Social Media ,Madison,operating,29.9,38400000.0
oDesk, Crowdsourcing ,San Francisco,operating,29.9,44000000.0
Ondax, Hardware + Software ,Monrovia,operating,29.9,8742387.0
ProspX, SaaS ,Austin,operating,29.9,30121228.0
Rive Technology, Clean Technology ,Cambridge,operating,29.9,67370000.0
Sand 9, Mobile ,Cambridge,operating,29.9,112152684.0
Secure64, Software ,Greenwood Village,operating,29.9,18316556.0
Silver Spring Networks, Communications Hardware ,Redwood City,operating,29.9,358929976.0
SiOnyx, Video ,Beverly,operating,29.9,20150000.0
SmartZip Analytics, Real Estate ,Pleasanton,operating,29.9,18550000.0
Specific Media, Advertising ,Irvine,operating,29.9,130868275.0
Suniva, Energy Efficiency ,Norcross,operating,29.9,225900000.0
Talyst, Pharmaceuticals ,Bellevue,operating,29.9,36000000.0
The Receivables Exchange, Finance ,New Orleans,operating,29.9,39750000.0
TicketLeap, E-Commerce ,Philadelphia,operating,29.9,9002185.0
Verve Mobile, Mobile ,Encinitas,operating,29.9,36896077.0
VigLink, Monetization ,San Francisco,operating,29.9,27337143.0
Visual Networks, Software ,Rockville,operating,29.9,11425000.0
Webroot, Security ,Broomfield,operating,29.9,108912913.0
Wikinvest, Finance ,San Francisco,operating,29.9,17519999.0
Yodlee, Finance ,Redwood City,operating,29.9,124309780.0
YuMe, Advertising ,Redwood City,operating,29.9,75816240.0
1366 Technologies, Manufacturing ,Bedford,operating,29.8,66450000.0
AdaptiveBlue, Semantic Web ,New York,operating,29.8,24020000.0
Appcelerator, Enterprise Software ,Mountain View,operating,29.8,90881020.0
Athletes' Performance, Training ,Phoenix,operating,29.8,22500000.0
Bradford Networks, Security ,Concord,operating,29.8,14000000.0
Business Insider, News ,New York,operating,29.8,30600000.0
Capella Photonics, Web Hosting ,San Jose,operating,29.8,86505616.0
CardioInsight Technologies, Health Care ,Cleveland,operating,29.8,36050344.0
Cleversafe, Enterprise Software ,Chicago,operating,29.8,100410283.0
Cloudera, Analytics ,Palo Alto,operating,29.8,1201000000.0
Collective, Advertising ,New York,operating,29.8,86400002.0
eXo, Networking ,San Francisco,operating,29.8,7242588.0
Fate Therapeutics, Biotechnology ,La Jolla,operating,29.8,78188360.0
FinancialForce.com, Enterprise Resource Planning ,San Francisco,operating,29.8,76300000.0
Flexible Medical Systems, Health Care ,Derwood,operating,29.8,4062155.0
FourthWall Media, Advertising ,Plano,operating,29.8,25071584.0
Glassdoor, Recruiting ,Sausalito,operating,29.8,91500000.0
GrubHub, Business Services ,Chicago,operating,29.8,84100000.0
HyperActive Technologies, Restaurants ,Pittsburgh,operating,29.8,7604450.0
InnoCentive, Collaboration ,Waltham,operating,29.8,30300000.0
Invenergy, Clean Technology ,Chicago,operating,29.8,534400000.0
Invincea, Software ,Fairfax,operating,29.8,45500000.0
Knewton, Education ,New York,operating,29.8,105000000.0
Kolltan Pharmaceuticals, Biotechnology ,New Haven,operating,29.8,146000000.0
Lattice Engines, CRM ,San Mateo,operating,29.8,26700000.0
Leyden Energy, Manufacturing ,Fremont,operating,29.8,34500000.0
Life360, Tracking ,San Francisco,operating,29.8,76100000.0
Live Gamer, Monetization ,New York,operating,29.8,43100000.0
Manifest Digital, Consulting ,Chicago,operating,29.8,15000000.0
ParLevel Systems, Software ,San Antonio,operating,29.8,3008313.0
Payfone, Mobile ,New York,operating,29.8,40000000.0
Practice Fusion, Health and Wellness ,San Francisco,operating,29.8,157519998.0
ProcessUnity, Software ,Concord,operating,29.8,9690000.0
Project Frog, Clean Technology ,San Francisco,operating,29.8,55200000.0
Proximic, Analytics ,Menlo Park,operating,29.8,10411000.0
Qualtré, Hardware + Software ,Marlborough,operating,29.8,38069660.0
RepairPal, Curated Web ,San Francisco,operating,29.8,21300000.0
RethinkDB, Databases ,Mountain View,operating,29.8,12200000.0
Return Path, Sales and Marketing ,New York,operating,29.8,62299962.0
RGB Networks, Games ,Sunnyvale,operating,29.8,72000001.0
SoloPower, Clean Technology ,San Jose,operating,29.8,458089999.0
Sonendo, Biotechnology ,Laguna Hills,operating,29.8,79349874.0
spigit, Software ,Pleasanton,operating,29.8,57101284.0
Traycer Diagnostic Systems, Biotechnology ,Columbus,operating,29.8,9007512.0
TriVascular, Medical Devices ,Santa Rosa,operating,29.8,256950270.0
TubeMogul, Analytics ,Emeryville,operating,29.8,53157047.0
Vaccinogen, Biotechnology ,Frederick,operating,29.8,99051350.0
Varonis Systems, Health Care ,New York,operating,29.8,28787685.0
Vaxart, Biotechnology ,San Francisco,operating,29.8,52668419.0
WeddingWire Inc, Events ,Chevy Chase,operating,29.8,31065000.0
Xtera Communications, Hardware + Software ,Allen,operating,29.8,116544093.0
Airbnb, Travel ,San Francisco,operating,29.7,794820000.0
AmberWave, Semiconductors ,Salem,operating,29.7,26300000.0
Appian, Collaboration ,Reston,operating,29.7,47499994.0
ATRP Solutions, E-Commerce ,Pittsburgh,operating,29.7,5085000.0
Avalanche Technology, Flash Storage ,Fremont,operating,29.7,59450000.0
Avedro, Health Care ,Waltham,operating,29.7,104300002.0
BidPal Network, Nonprofits ,Indianapolis,operating,29.7,16579175.0
Bioscale, Life Sciences ,Lexington,operating,29.7,74639282.0
BookShout!, Software ,Plano,operating,29.7,8750000.0
Bridgevine, Internet Marketing ,Vero Beach,operating,29.7,16550000.0
Castle Biosciences, Biotechnology ,Friendswood,operating,29.7,6912587.0
CE Interactive, Software ,New York,operating,29.7,2398464.0
CellTech Metals, Manufacturing ,San Diego,operating,29.7,1190000.0
"ChargePoint, Inc.", Clean Technology ,Campbell,operating,29.7,113993598.0
CloSys, Biotechnology ,Minneapolis,operating,29.7,2302799.0
Coskata, Clean Technology ,Warrenville,operating,29.7,86220000.0
Digital Orchid, E-Commerce ,San Diego,operating,29.7,19903476.0
Dolls Kill, E-Commerce ,San Francisco,operating,29.7,900000.0
EdeniQ, Biotechnology ,Omaha,operating,29.7,91670000.0
EnterpriseDB, Business Intelligence ,Bedford,operating,29.7,64921718.0
eSolar, Clean Technology ,Pasadena,operating,29.7,192000000.0
Exalt Communications, Mobile ,Campbell,operating,29.7,16801250.0
Expensify, Finance Technology ,San Francisco,operating,29.7,10200000.0
Fallbrook Technologies, Technology ,Cedar Park,operating,29.7,145287897.0
Finsphere, Identity Management ,Bellevue,operating,29.7,30700000.0
GlobalServe, Finance ,Valhalla,operating,29.7,8220000.0
HedgeCo, Finance ,West Palm Beach,operating,29.7,3000000.0
Host Analytics, SaaS ,Redwood City,operating,29.7,85900000.0
Imaging3, Biotechnology ,Burbank,operating,29.7,4848993.0
Innography, Search ,Austin,operating,29.7,16500000.0
Innotas, Enterprise Software ,San Francisco,operating,29.7,23734059.0
JumpStart Wireless Corporation, Software ,Delray Beach,operating,29.7,581961.0
Knetik Media, Enterprise Software ,Altamonte Springs,operating,29.7,1650000.0
LifeLock, Technology ,Tempe,operating,29.7,177850000.0
LiquidWare Labs, Software ,Palatine,operating,29.7,2776316.0
Lucidworks, Enterprise Search ,Redwood City,operating,29.7,39999998.0
Marketocracy, Finance ,San Mateo,operating,29.7,16250000.0
Medipacs, Hardware + Software ,San Diego,operating,29.7,2535800.0
Morphlabs, Cloud Management ,Manhattan Beach,operating,29.7,22000000.0
Nabsys, Biotechnology ,Providence,operating,29.7,84299975.0
nanoMR, Biotechnology ,Albuquerque,operating,29.7,25523512.0
NComputing, Software ,Santa Clara,operating,29.7,57800000.0
nContact Surgical, Health Care ,Morrisville,operating,29.7,51954587.0
Netrepid, Data Centers ,Enola,operating,29.7,200000.0
Novariant, Technology ,Fremont,operating,29.7,60500000.0
NQ Mobile Inc., Software ,Dallas,operating,29.7,10000000.0
Onehub, File Sharing ,Seattle,operating,29.7,3000000.0
PhaseRx, Biotechnology ,Seattle,operating,29.7,27019304.0
Precise Path Robotics, Public Transportation ,Indianapolis,operating,29.7,13060025.0
Race Yourself, Fitness ,San Francisco,operating,29.7,332500.0
Rapleaf, Messaging ,Chicago,operating,29.7,16000000.0
RealMatch, Career Management ,New York,operating,29.7,14700000.0
Rennovia, Biotechnology ,Menlo Park,operating,29.7,78537524.0
Rivertop Renewables, Clean Technology ,Missoula,operating,29.7,28160000.0
Saavn, Internet ,New York,operating,29.7,10000000.0
Scrybe, Events ,San Francisco,operating,29.7,1309000.0
SensGard, Hardware + Software ,Pittsford,operating,29.7,275000.0
Sensys Networks, Mobile ,Berkeley,operating,29.7,16816504.0
Skycross, Manufacturing ,Melbourne Beach,operating,29.7,41299476.0
Snap Fitness,Unknown,Chanhassen,operating,29.7,0.0
SocialChorus, Software ,San Francisco,operating,29.7,15000000.0
Sojern, Travel ,San Francisco,operating,29.7,42500000.0
Spectrum Bridge, Web Hosting ,Lake Mary,operating,29.7,25371206.0
Stion, Clean Technology ,San Jose,operating,29.7,220000000.0
Swap.com (Netcycler Inc.), Online Shopping ,Bolingbrook,operating,29.7,3000000.0
Telogis, Fleet Management ,Aliso Viejo,operating,29.7,95000000.0
Teneros, Messaging ,Mountain View,operating,29.7,92500000.0
Tremor Video, Advertising ,New York,operating,29.7,116400000.0
"TurnHere, Inc.", Film ,Emeryville,operating,29.7,11750000.0
UnboundID, Mobile ,Austin,operating,29.7,17000000.0
Viewfinity, Enterprise Software ,Waltham,operating,29.7,28660003.0
VisionGate, Biotechnology ,Phoenix,operating,29.7,10717253.0
Vitals (vitals.com), Health and Wellness ,Lyndhurst,operating,29.7,45319837.0
vWise, Enterprise Software ,Aliso Viejo,operating,29.7,4731701.0
WiTricity, Clean Technology ,Watertown,operating,29.7,29000000.0
WordStream, Advertising ,Boston,operating,29.7,28355000.0
YCD Multimedia, Software ,New York,operating,29.7,41500000.0
Zilliant, Optimization ,Austin,operating,29.7,29100000.0
Zuora, Billing ,Foster City,operating,29.7,127500000.0
Acceleron Pharma, Biotechnology ,Cambridge,operating,29.6,113701127.0
Adapx, Collaboration ,Seattle,operating,29.6,30000000.0
Adimab, Biotechnology ,Lebanon,operating,29.6,39682384.0
AeroSat Corporation, Web Hosting ,Amherst,operating,29.6,45400000.0
AFS Technologies, Enterprise Software ,Phoenix,operating,29.6,10200000.0
AgeneBio, Biotechnology ,Carmel,operating,29.6,10601850.0
Alter-G, Health Care ,Fremont,operating,29.6,23000000.0
Amyris Biotechnologies, Chemicals ,Emeryville,operating,29.6,417040423.0
Angie's List, Advertising ,Indianapolis,operating,29.6,182600000.0
AppFirst, Application Performance Monitoring ,New York,operating,29.6,17850000.0
Applied Optoelectronics, Semiconductors ,Sugar Land,operating,29.6,45319939.0
Aryaka Networks, Enterprise Software ,Milpitas,operating,29.6,81166500.0
Betabrand, Fashion ,San Francisco,operating,29.6,8204000.0
BiOptix Inc., Biotechnology ,Boulder,operating,29.6,4650000.0
BioTime, Biotechnology ,Alameda,operating,29.6,60330000.0
Bloom Energy, Clean Technology ,Sunnyvale,operating,29.6,980000000.0
BreatheAmerica, Health and Wellness ,Nashville,operating,29.6,29800000.0
C2 Therapeutics, Biotechnology ,Redwood City,operating,29.6,19584582.0
Capriza, Enterprise Software ,Palo Alto,operating,29.6,50500000.0
CardiOx, Biotechnology ,Dublin,operating,29.6,14511774.0
Carnegie Speech, Collaboration ,Pittsburgh,operating,29.6,16461305.0
Code Green Networks, Enterprise Software ,Sunnyvale,operating,29.6,34000418.0
CyberArk, Security ,Newton,operating,29.6,43000000.0
DermTech International, Biotechnology ,La Jolla,operating,29.6,16758700.0
Doximity, Health Care ,San Mateo,operating,29.6,81800000.0
doxo, Data Security ,Seattle,operating,29.6,18750000.0
Edgewater Networks, VoIP ,San Jose,operating,29.6,16500807.0
Flat World Education, SaaS ,Washington,operating,29.6,35700000.0
Gen9, Biotechnology ,Cambridge,operating,29.6,50095000.0
Healthsense, Biotechnology ,Mendota,operating,29.6,32130000.0
HealthWarehouse.com, E-Commerce ,Loveland,operating,29.6,17620401.0
Highwinds, Software ,Winter Park,operating,29.6,310000000.0
Inform Technologies, Semantic Web ,New York,operating,29.6,29330000.0
Innovid, Video Streaming ,New York,operating,29.6,27600000.0
innRoad, Hotels ,New York,operating,29.6,16561214.0
Intematix, Manufacturing ,Fremont,operating,29.6,40700000.0
Keas, Human Resources ,San Francisco,operating,29.6,32900000.0
Kickserv, SaaS ,Mill Valley,operating,29.6,1100000.0
Kior, Oil ,Pasadena,operating,29.6,297920000.0
Lookout, Security ,San Francisco,operating,29.6,131000000.0
Machinima, Video ,West Hollywood,operating,29.6,67550000.0
MarketFactory, Technology ,New York,operating,29.6,3695012.0
Microfabrica, Energy ,Van Nuys,operating,29.6,33499999.0
MongoDB, Cloud Computing ,New York,operating,29.6,231100000.0
NextBio, Enterprise Software ,Santa Clara,operating,29.6,16100000.0
nLIGHT Corp., Semiconductors ,Hillsboro,operating,29.6,44404040.0
Nomadesk, Enterprise 2.0 ,Austin,operating,29.6,11298100.0
Numerate, Biotechnology ,San Bruno,operating,29.6,13740487.0
obopay, Mobile ,Redwood City,operating,29.6,144760181.0
OmniGuide, Clean Technology ,Cambridge,operating,29.6,80587143.0
OpenLabel, Software ,San Francisco,operating,29.6,460000.0
Ortho Kinematics, Biotechnology ,Austin,operating,29.6,17818909.0
P2 Energy Solutions, Software ,Denver,operating,29.6,250000000.0
Palmaz Scientific, Health Care ,Fremont,operating,29.6,29128000.0
Pathfinder Technologies, Biotechnology ,Nashville,operating,29.6,7476374.0
PayNearMe, E-Commerce ,Sunnyvale,operating,29.6,56500000.0
Pie Digital, Internet of Things ,Palo Alto,operating,29.6,48076094.0
PlayPhone, Games ,San Francisco,operating,29.6,95097200.0
Plex, Social Television ,Los Gatos,operating,29.6,0.0
Privaris, Security ,Charlottesville,operating,29.6,29132871.0
Proteus Industries, Hospitality ,Gloucester,operating,29.6,1897428.0
RAMP Holdings, Video ,Boston,operating,29.6,36750000.0
RaveMobileSafety.com, SaaS ,New York,operating,29.6,46000000.0
Rethink Robotics, Robotics ,Boston,operating,29.6,73500350.0
Reval.com, Software ,New York,operating,29.6,86922153.0
Ruckus Wireless, Communications Hardware ,Sunnyvale,operating,29.6,55946214.0
SaleMove, Software ,New York,operating,29.6,25000.0
Savara Pharmaceuticals, Nanotechnology ,Austin,operating,29.6,47703667.0
Sente Inc., Biotechnology ,Encinitas,operating,29.6,26842000.0
ServiceMax, Enterprise Software ,Pleasanton,operating,29.6,122000000.0
Simulmedia, Media ,New York,operating,29.6,58250000.0
SmartDrive Systems, Analytics ,San Diego,operating,29.6,128149887.0
Soft Tissue Regeneration, Health Care ,New Haven,operating,29.6,19633619.0
Spiracur, Health Care ,Redwood City,operating,29.6,71300000.0
